date,symbol,gap_percentage,previous_close,open,volume,dollar_change
2024-11-27,ELAB,18620.0,0.01,2.34,941346,2.33
2024-12-03,MYNZ,3815.66,0.2,7.8,211534,7.6
2024-11-22,XTKG,1705.56,0.11,1.95,298141,1.84
2024-11-15,TPET,1659.26,0.1,1.71,719048,1.61
2024-12-02,FTCI,884.44,0.31,3.1,405816,2.79
2024-11-15,TKLF,814.77,0.35,3.22,281637,2.87
2024-11-22,DFLI,787.69,0.37,3.28,291383,2.91
2025-01-02,RAIN,766.12,1.21,10.48,277177,9.27
2024-11-20,BTC,410.58,8.22,41.97,1354081,33.75
2024-11-12,ZVZZT,393.15,3.65,18.0,153744,14.35
2024-12-20,MYSZ,311.11,1.35,5.55,121038819,4.2
2024-11-07,ZSL,286.07,9.26,35.75,288583,26.49
2024-12-19,TPET,265.63,0.82,3.0,107374448,2.18
2024-11-29,BSLK,220.95,0.3,0.95,80841715,0.65
2024-12-03,ZJK,187.07,6.34,18.2,28212346,11.86
2025-01-06,FUBO,176.39,1.44,3.98,682150133,2.54
2024-11-13,MVST,166.52,0.18,0.48,1087945875,0.3
2024-11-20,QSI,146.45,0.63,1.56,283142975,0.93
2024-12-17,TNXP,139.62,0.53,1.27,1018323348,0.74
2024-12-10,CPIX,134.68,1.24,2.91,93532705,1.67
2024-10-23,BSGM,134.04,0.47,1.1,4726260,0.63
2025-01-03,ZVZZT,117.39,11.5,25.0,196277,13.5
2024-11-13,BTCT,114.57,10.5,22.53,45367586,12.03
2024-12-27,MYSZ,112.32,4.22,8.96,33172830,4.74
2024-12-19,ZVZZT,110.15,8.57,18.01,102222,9.44
2024-10-28,EVOK,109.62,5.3,11.11,21131703,5.81
2024-11-26,ZVZZT,103.58,12.29,25.02,351788,12.73
2024-12-31,EYEN,98.41,0.11,0.22,412826191,0.11
2024-11-26,TOYO,90.34,2.9,5.52,49091025,2.62
2024-12-10,QURE,88.07,7.3,13.72,61928113,6.43
2024-11-12,BTCT,87.3,2.52,4.72,128436910,2.2
2024-12-27,QSIAW,84.74,0.67,1.24,952265,0.57
2024-12-23,RAPT,84.15,0.83,1.52,141065397,0.69
2024-11-08,TIVC,74.55,0.26,0.45,293135819,0.19
2024-12-24,TIVC,69.47,0.22,0.38,73865709,0.16
2024-10-14,XPON,67.36,2.39,4.0,29723104,1.61
2024-11-08,DEVS,65.09,1.06,1.75,41113478,0.69
2024-11-20,TNXP,60.73,0.16,0.26,662149645,0.1
2024-12-27,QSI,58.6,2.15,3.41,256005503,1.26
2024-12-19,DEVS,57.97,0.71,1.12,33102323,0.41
2025-01-02,XPON,53.56,2.39,3.67,28942031,1.28
