date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2023-05-18 04:00:00+00:00,GPUS,28084.71,0.06,17.7,21.49,15.01,15.9,195411,17.64
2023-09-12 04:00:00+00:00,ASTI,27716.9,0.04,11.85,12.91,9.01,9.2,3184749,11.81
2023-02-16 05:00:00+00:00,SLND,22271.36,8.94,2000.0,2000.0,8.1,8.6,321108,1991.06
2023-12-29 05:00:00+00:00,AVTX,20528.8,0.05,10.17,11.16,8.36,9.1,358876,10.12
2024-11-27 05:00:00+00:00,ELAB,18620.0,0.01,2.34,2.6,2.04,2.41,941346,2.33
2023-06-09 04:00:00+00:00,NXTT,17918.48,0.04,7.0,7.8,6.75,7.14,254110,6.96
2024-11-12 05:00:00+00:00,JTAI,17801.55,0.04,6.91,7.77,5.9,6.64,378381,6.87
2024-06-03 04:00:00+00:00,GWAV,16256.59,0.04,6.33,6.33,3.9,4.27,2933846,6.29
2023-12-27 05:00:00+00:00,NXU,16246.15,0.02,3.4,4.95,2.66,2.66,5702737,3.38
2024-10-09 04:00:00+00:00,VERB,14770.59,0.04,6.32,7.89,5.85,6.91,476330,6.28
2024-05-28 04:00:00+00:00,SINT,13568.64,0.07,9.24,9.74,7.35,9.28,830068,9.17
2024-03-22 04:00:00+00:00,BCAN,12920.83,0.02,2.5,2.69,2.06,2.51,2878313,2.48
2024-04-15 04:00:00+00:00,WISA,12728.95,0.02,1.95,2.09,1.66,1.75,798136,1.93
2024-06-25 04:00:00+00:00,CRKN,11962.66,0.04,4.62,4.91,3.75,3.98,1116769,4.58
2024-12-17 05:00:00+00:00,XXII,11948.19,0.04,5.0,5.0,3.9,4.37,463169,4.96
2024-05-08 04:00:00+00:00,IVP,11304.49,0.04,4.06,4.74,3.38,3.63,3906107,4.02
2024-03-13 04:00:00+00:00,XTIA,11209.3,0.05,5.96,6.39,3.3,3.5,1131937,5.91
2024-12-05 05:00:00+00:00,AGRI,10706.45,0.03,3.35,4.2,3.17,3.23,1364497,3.32
2023-01-27 05:00:00+00:00,WISA,9990.09,0.11,11.2,11.4,8.62,9.2,891482,11.09
2024-09-17 04:00:00+00:00,MULN,9916.89,0.12,11.86,13.82,9.55,10.45,1237758,11.74
2023-12-21 05:00:00+00:00,MULN,9900.0,0.08,8.0,18.7,6.95,14.25,24911709,7.92
2023-08-23 04:00:00+00:00,TIVC,9798.48,0.04,3.9,4.0,2.77,2.88,1430149,3.86
2023-12-20 05:00:00+00:00,SIDU,9743.34,0.04,3.77,4.27,3.27,3.59,273858,3.73
2024-10-09 04:00:00+00:00,MAXN,9548.38,0.07,6.86,7.62,6.3,6.33,986361,6.79
2024-10-09 04:00:00+00:00,XPON,9401.66,0.03,2.86,2.96,2.13,2.96,1549390,2.83
2024-10-02 04:00:00+00:00,SOBR,9079.1,0.07,6.15,6.99,5.4,6.4,198112,6.08
2024-11-25 05:00:00+00:00,APLM,9050.33,0.09,8.4,10.32,8.06,9.67,125277,8.31
2024-04-03 04:00:00+00:00,UCAR,8996.77,0.06,5.64,6.57,5.2,5.94,428037,5.58
2023-08-09 04:00:00+00:00,SYTA,8934.48,0.04,3.93,4.08,3.12,3.6,805216,3.89
2024-07-05 04:00:00+00:00,CYN,8894.41,0.05,4.83,4.9,4.07,4.23,335704,4.78
2024-11-11 05:00:00+00:00,TRNR,8608.61,0.06,5.26,5.39,4.05,4.79,447878,5.2
2024-08-15 04:00:00+00:00,ASTI,8416.48,0.04,3.1,3.58,2.73,3.25,378563,3.06
2023-07-31 04:00:00+00:00,SN,8231.02,0.36,30.05,52.9,30.05,42.31,1201396,29.69
2024-11-15 05:00:00+00:00,ADD,8061.56,0.07,5.86,6.5,5.13,5.23,124528,5.79
2024-10-22 04:00:00+00:00,ZCAR,7786.08,0.08,6.23,7.11,5.72,6.2,337905,6.15
2024-04-23 04:00:00+00:00,PVLA,7716.56,0.15,11.42,12.93,11.15,12.0,115544,11.27
2024-05-17 04:00:00+00:00,HSCS,7592.31,0.11,8.7,8.7,6.83,6.97,348902,8.59
2023-07-05 04:00:00+00:00,BDRX,7518.32,0.07,4.99,5.75,4.5,4.63,772457,4.92
2024-06-07 04:00:00+00:00,VLCN,7492.86,0.14,10.63,10.99,9.11,10.32,245626,10.49
2024-11-20 05:00:00+00:00,LUXH,7444.48,0.03,2.12,2.3,1.42,1.52,634180,2.09
2024-06-12 04:00:00+00:00,BNED,7376.14,0.09,7.05,8.91,6.28,6.99,2514388,6.96
2024-11-26 05:00:00+00:00,PBM,7311.27,0.05,3.55,4.37,3.04,3.34,327250,3.5
2023-11-30 05:00:00+00:00,YHC,7268.42,0.02,1.82,1.87,1.22,1.4,2083822,1.8
2024-07-15 04:00:00+00:00,SMX,7057.08,0.09,6.47,6.47,5.55,5.95,198975,6.38
2023-01-23 05:00:00+00:00,JAGX,7054.66,0.08,6.06,6.15,5.26,5.43,762223,5.98
2024-04-12 04:00:00+00:00,CISS,7018.06,0.03,2.05,2.25,1.68,1.86,5663784,2.02
2024-08-02 04:00:00+00:00,NCPL,6983.33,0.07,4.76,4.8,3.42,3.75,313528,4.69
2023-08-28 04:00:00+00:00,FFIE,6710.29,0.16,10.59,11.2,9.27,9.48,4116432,10.43
2024-02-23 05:00:00+00:00,LYT,6566.67,0.05,3.26,3.62,2.75,3.35,636343,3.21
2025-01-02 05:00:00+00:00,ATCH,6500.0,0.16,10.56,15.27,9.0,10.05,401847,10.4
2023-05-22 04:00:00+00:00,NEUE,6408.39,0.21,13.57,15.47,11.77,15.1,589865,13.36
2024-04-26 04:00:00+00:00,ATXI,6293.16,0.12,7.48,8.99,5.78,6.2,235516,7.36
2024-04-18 04:00:00+00:00,BENF,6290.04,0.07,4.62,5.28,4.05,4.55,306692,4.55
2024-10-25 04:00:00+00:00,KXIN,5890.61,0.11,6.38,7.0,5.37,5.37,1155657,6.27
2024-09-16 04:00:00+00:00,KSCP,5885.07,0.2,12.03,13.23,7.54,7.68,432546,11.83
2023-10-13 04:00:00+00:00,TTOO,5831.03,0.17,10.32,10.46,6.81,8.2,2485480,10.15
2023-01-23 05:00:00+00:00,OGEN,5639.13,0.14,7.92,8.23,7.13,7.17,202120,7.78
2023-04-04 04:00:00+00:00,OCTO,5504.2,0.06,3.2,3.2,2.21,2.32,985279,3.14
2023-08-17 04:00:00+00:00,HSDT,5386.03,0.18,9.82,9.82,7.08,7.87,282926,9.64
2024-05-23 04:00:00+00:00,JAGX,5380.09,0.13,7.02,7.25,4.91,5.13,1316768,6.89
2024-08-15 04:00:00+00:00,QNTM,5350.5,0.09,4.9,5.26,4.16,4.27,192800,4.81
2024-09-23 04:00:00+00:00,RSLS,5167.86,0.11,5.9,12.13,5.03,7.99,7757601,5.79
2024-04-17 04:00:00+00:00,SBFM,5150.0,0.07,3.57,4.57,3.2,3.8,4711026,3.5
2024-10-17 04:00:00+00:00,SUNE,5126.82,0.1,5.3,7.25,4.68,5.51,3306206,5.2
2024-02-27 05:00:00+00:00,PHUN,5002.27,0.18,8.98,9.98,7.55,8.29,1743318,8.8
2023-08-15 04:00:00+00:00,CRKN,4991.74,0.04,2.22,2.47,1.82,2.18,1117159,2.18
2023-02-24 05:00:00+00:00,WINT,4948.78,0.16,8.28,8.6,6.73,6.9,206318,8.12
2024-02-05 05:00:00+00:00,VLCN,4838.27,0.09,4.4,4.84,2.6,3.22,1330500,4.31
2023-07-13 04:00:00+00:00,LGHL,4752.94,0.1,4.95,4.95,3.9,4.05,2923058,4.85
